team_id,school,mascot,abbreviation,alt_name1,alt_name2,alt_name3,conference,classification,color,alt_color,logo,logo_2,venue_id,venue_name,city,state,zip,country_code,timezone,latitude,longitude,elevation,capacity,year_constructed,grass,dome
2000,Abilene Christian,Wildcats,ACU,NA,ACU,Abil Christian,Western Athletic,fcs,#4e2683,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png,5440,Wildcat Stadium (TX),Abilene,TX,79601,US,America/Chicago,32.472275,-99.710464,520.9,12000,2017,FALSE,FALSE
2001,Adams State,Grizzlies,ADST,NA,ADST,Adams St,Rocky Mountain,ii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2001.png,5866,Rex Stadium,Alamosa,CO,81101,US,NA,37.5780995,-105.7890452,NA,2800,NA,NA,FALSE
2003,Adrian,Bulldogs,ADR,NA,ADR,Adrian,Michigan,iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2003.png,5787,Docking Stadium,Adrian,MI,49221,US,NA,41.8975152,-84.0373054,NA,3000,NA,NA,FALSE
2005,Air Force,Falcons,AFA,NA,AFA,Air Force,Mountain West,fbs,#004a7b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png,3713,Falcon Stadium,Colorado Springs,CO,80840,US,America/Denver,38.9969701,-104.8436165,2024.875732,46692,1962,FALSE,FALSE
2006,Akron,Zips,AKR,NA,AKR,Akron,Mid-American,fbs,#00285e,#84754e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png,3768,Summa Field at InfoCision Stadium,Akron,OH,44399,US,America/New_York,41.0725534,-81.5083408,321.2875061,30000,2009,FALSE,FALSE
333,Alabama,Crimson Tide,ALA,NA,ALA,Alabama,SEC,fbs,#690014,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png,3657,Bryant Denny Stadium,Tuscaloosa,AL,35487,US,America/Chicago,33.2082752,-87.5503836,70.05136108,101821,1929,TRUE,FALSE
2010,Alabama A&M,Bulldogs,AAMU,NA,AAMU,Alabama A&M,SWAC,fcs,#790000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png,3809,Louis Crews Stadium,Huntsville,AL,35810,US,America/Chicago,34.7835363,-86.5784132,214.9181061,21000,1996,FALSE,FALSE
2011,Alabama State,Hornets,ALST,NA,ALST,Alabama State,SWAC,fcs,#e9a900,#0a0a0a,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png,4582,Hornet Stadium,Montgomery,AL,36106,US,America/Chicago,32.3642223,-86.2896902,79.35839844,26500,2012,FALSE,FALSE
399,Albany,Great Danes,ALBY,SUNY Albany,ALBY,Albany,CAA,fcs,#3D2777,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/399.png,4419,Bob Ford Field,Albany,NY,12222,US,America/New_York,42.6808062,-73.8272841,64.42764282,8500,2013,FALSE,FALSE
2013,Albany State (GA),Golden Rams,ALB,NA,ALB,Albany St (GA),SIAC,ii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2013.png,5867,Albany State University Coliseum,Albany,GA,31701,US,NA,31.5782062,-84.1556809,NA,10000,NA,NA,FALSE
2790,Albion,Britons,ALBI,NA,ALBI,Albion,Michigan,iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2790.png,5786,Sprankle-Sprandel Stadium,Albion,MI,49224,US,NA,42.243097,-84.7530304,NA,4000,NA,NA,FALSE
2015,Albright,Lions,ALB,NA,ALB,Albright,Mid Atlantic,iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2015.png,5127,Gene L. Shirk Stadium,Reading,PA,19501,US,NA,40.335345,-75.9279495,NA,5000,NA,NA,FALSE
2016,Alcorn State,Braves,ALCN,NA,ALCN,Alcorn State,SWAC,fcs,#4b0058,#46166a,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png,3771,Jack Spinks Stadium,Lorman,MS,39096,US,America/Chicago,31.873621,-91.13488,72.25324249,22500,1992,FALSE,FALSE
2017,Alderson-Broaddus,Battlers,ABC,NA,ABC,Ald.-Broaddus,Mountain East,ii,NA,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2017.png,4421,Multi-Sport Performance Stadium,Philippi,WV,26416,US,NA,39.1523198,-80.0403578,NA,2500,NA,NA,FALSE
365,Alfred,Saxons,ALF,NA,ALF,Alfred,Empire 8,iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/365.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/365.png,5788,Merrill Field at Yunevich Stadium,Alfred,NY,14802,US,NA,42.2542334,-77.7906062,NA,1435,NA,NA,FALSE
3162,Alfred State College,Pioneers,ASC,NA,ASC,Alfred St ,ECFC,iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3162.png,3877,Pioneer Stadium,Alfred,NY,14802,US,NA,42.2542334,-77.7906062,NA,1500,NA,NA,FALSE
2018,Allegheny,Golden Gators,ALL,NA,ALL,Allegheny,Presidents',iii,#000000,NA,http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2018.png,5789,Frank B. Fuhrer Field,Meadville,PA,36069,US,NA,41.641445,-80.151449,NA,3500,NA,NA,FALSE
